,Energy
0,9.847846834460281
1,10.060832242561236
2,10.372955585216296
3,10.504579652943555
4,10.483423518143598
5,10.349060990246599
6,10.341047973780785
7,10.330067910296268
8,10.36867064821463
9,10.42482923015887
10,10.635325328755632
11,10.617953250476404
12,10.715614167090475
13,10.808554149492222
14,10.890836992201171
15,10.83320723100304
16,10.721776350782276
17,10.735544629436742
18,10.594063744602783
19,10.592799797980739
20,10.648546346588077
21,10.76001081141418
22,10.778947862827549
23,10.666062561454158
24,10.855321534322933
25,10.758277326824672
26,10.710132528919067
27,10.615827712791475
28,10.571533847718756
29,10.495131102106608
30,11.043755256003791
31,10.942154715090037
32,10.831022321024998
33,10.740664729290202
34,10.822772713531734
35,10.754028464691542
36,10.669994193994116
37,10.905647910600093
38,10.93507341818403
39,10.95796794010481
40,11.037986636075756
41,11.203061202489973
42,11.1793144980266
43,11.16566683600673
44,11.204246935826244
45,11.07718889414665
46,11.020816987633294
47,11.079945595759783
48,11.289131648624782
49,11.247343242873157
50,11.27974679646065
51,11.264056727049406
52,11.332664721004225
53,11.416386703312149
54,11.316526607082436
55,11.27788152124026
56,11.251771781497913
57,11.163300433398433
58,11.216995011831521
59,11.407345548908312
60,11.517600886526482
61,11.446949035910084
62,11.494984939265665
63,11.626837473886274
64,11.551491091399267
65,11.4529839471083
66,11.411925951103353
67,11.468186283616072
68,11.768306369534754
69,11.596640028192683
70,11.505096661530104
71,11.450068958996665
72,11.594226535938047
73,11.612909517223562
74,11.738832004399132
75,11.732904252338061
76,11.612586925221661
77,11.680322273710702
78,11.510493855446065
79,11.539959541060936
80,11.549050301549052
81,11.500037108242212
82,11.49903674925999
83,11.376604433788339
84,11.407662331313432
85,11.575308416497547
86,11.602495637674222
87,11.705390081737763
88,11.9644420529915
89,11.893258385798491
90,12.114736906844964
91,12.53104800323496
92,12.676132399917671
93,12.610830106777007
94,12.588278772231275
95,12.798379371133398
96,12.49761366192721
97,12.44805719264759
98,12.573094092953422
99,12.294476942397893
100,12.19105199528552
101,12.07621584790707
102,11.929538100801249
103,12.035312239313061
104,12.056627334911882
105,12.066581039094874
106,12.132753304064126
107,12.108782133776806
108,12.111507853007849
109,12.443916077615153
110,12.325714809123248
111,12.404036619146831
112,12.469253462705947
113,12.583214971259896
114,12.557105732112623
115,12.818020451186051
116,12.670453890135331
117,12.941133977089716
118,13.114168949455221
119,13.052919975177081
120,13.039828013833988
121,12.945928583391424
122,12.729680428124393
123,12.829571463592732
124,12.556463592237083
125,12.223266829882942
126,12.11107363215029
127,12.061696344096354
128,12.223182462676075
129,12.08536010850733
130,11.945761119088466
131,12.050149800033473
132,12.498778440611877
133,12.429309618090759
134,12.195752477494102
135,12.18860743752258
136,12.184373985014194
137,12.245536614389664
138,12.38754582144485
139,12.411290722734044
140,12.289928185584962
141,12.472929988748728
142,12.414387282262973
143,12.424528706419586
144,12.208998676372673
145,12.405500332697722
146,12.322891823407431
147,12.421798298783887
148,12.333480941568295
149,12.647342161627947
