,Energy
0,10.210698340474211
1,10.317858430235315
2,10.269586311284973
3,10.288942127954297
4,10.190996138124857
5,10.13475171302119
6,10.243073224416026
7,10.316524121561674
8,10.28705711562177
9,10.238175702528459
10,10.216631257062827
11,10.128133455470524
12,10.144607304499543
13,10.693800183119663
14,10.705491764866233
15,10.621744440739043
16,10.625064925065898
17,10.723636531155018
18,10.72112615699585
19,10.734780975913369
20,10.6784570348193
21,10.59248063317818
22,10.608913144734196
23,10.625107767482776
24,10.564250958186697
25,10.444965609187044
26,10.441326960836808
27,10.645903807666421
28,10.70502974331189
29,10.737462222620703
30,10.822760045878887
31,10.957312817789923
32,11.04173491276618
33,11.010855327634594
34,11.299695893886954
35,11.23327827236885
36,11.183667417895666
37,11.215902052140917
38,11.182759475182777
39,11.325865690488817
40,11.335190620715473
41,11.381038853050502
42,11.289089620506795
43,11.241280110394364
44,11.387890437354834
45,11.276079474617326
46,11.473798698311224
47,11.644822890344606
48,11.610860026216521
49,11.733470103014369
50,11.717216350012057
51,11.798501032820202
52,11.655320709043393
53,11.732556773963779
54,11.790708789824409
55,12.039178011311026
56,12.167763798076876
57,12.838374265279349
58,12.66455478143769
59,12.606709681334873
60,12.52623709915494
61,12.577777345345792
62,12.431590314149652
63,12.412661436920548
64,12.524855994330746
65,12.409313255236437
66,12.342678125857875
67,12.347615549386312
68,12.375484329120109
69,12.33909127578376
70,12.29541230656346
71,12.128444664283931
72,12.233552777639426
73,12.094963476922604
74,12.023201266355045
75,11.902945951706284
76,11.918866901883298
77,11.958672066070374
78,11.884716951556229
79,11.690934902170763
80,11.688153988949786
81,11.921718432331664
82,11.933762579500124
83,11.804429319008921
84,11.711913817519708
85,11.66012733506215
86,11.639361479996937
87,11.652050350727873
88,11.822400542712188
89,11.879158076630926
90,12.438168016837372
91,12.342815988651045
92,12.154991174226717
93,12.25821509813379
94,12.313838273328331
95,12.159174177867671
96,12.01925265075935
97,12.15011645770614
98,11.98072846670874
99,11.737481601281319
100,11.643711787328526
101,11.544824894245576
102,11.436027803851871
103,11.422789109399858
104,11.317265826555442
105,11.314405635897051
106,11.28762831811163
107,11.22751050393543
108,11.228273492005833
109,11.38096309449052
110,11.524105735715812
111,11.589610357463908
112,11.475940573971775
113,11.417599436654765
114,11.66146479272907
115,11.972261512425593
116,11.972075798151492
117,11.817755579809699
118,11.74923038185553
119,11.809265117123973
120,11.75246954845096
121,11.758311581803675
122,11.678704277179495
123,11.743197413408708
124,11.553203528567948
125,11.397748759961907
126,11.624595494527163
127,11.654240239819329
128,11.552145193690723
129,11.610540054079454
130,11.466380705425314
131,11.31841464810732
132,11.238563506801986
133,11.236335014378671
134,11.12335741861319
135,11.108684524991917
136,11.051062753255085
137,11.283894853279772
138,11.296560706890237
139,11.16963345047751
140,11.378644788215606
141,11.379667771274937
142,11.405578713029215
143,11.653514839224487
144,11.505889006825676
145,11.512277902789727
146,11.420227816108275
147,11.31294416764372
148,11.381447936479649
149,11.26387589902188
150,11.095491350971987
151,10.97074979668785
152,10.821499916637958
153,10.664541876725014
154,10.572836319402812
155,10.577499029492696
156,10.571112700926417
157,10.506238109968413
158,10.518228623074377
159,10.572330175577639
160,10.502087968938037
161,10.572579829866054
162,10.570915298713095
163,10.571075555965537
164,10.555845962848057
165,10.466464547030837
166,10.515370985363553
167,10.437498336360967
168,10.328534979340237
169,10.343362118392276
170,10.328489784959775
171,10.357709312818692
172,10.332421318204501
173,10.266052612008652
174,10.254644900378732
175,10.343618605775394
176,10.23669944492459
177,10.143314715893279
178,10.152365264298588
179,10.064054020010236
180,10.055786014938706
181,10.112336664073958
182,10.17914335957772
183,10.096031555241742
